2020-03-17,Case Counts by Onset Date,3/6/2020,Cases,13
2020-03-17,Case Counts by Onset Date,3/7/2020,Cases,11
2020-03-17,Case Counts by Onset Date,3/8/2020,Cases,16
2020-03-17,Case Counts by Onset Date,3/9/2020,Cases,11
2020-03-17,Case Counts by Onset Date,3/10/2020,Cases,21
2020-03-17,Case Counts by Onset Date,3/11/2020,Cases,8
2020-03-17,Case Counts by Onset Date,3/12/2020,Cases,2
2020-03-18,description,attribute,metric,value
2020-03-18,State Data,Statewide,Cases,216
2020-03-18,State Data,Statewide,Hospitalizations,26
2020-03-18,State Data,Statewide,Counties,20
2020-03-18,State Data,Statewide,People Tested,2328
2020-03-18,State Data,Statewide,Deaths,2
2020-03-18,State Data,Statewide,Rate Per 100000,3.793
2020-03-18,Case Counts by County,Denver,Rate Per 100000,5.990009222
2020-03-18,Case Counts by County,Denver,Cases,43
2020-03-18,Case Counts by County,Eagle,Rate Per 100000,71.04472174
2020-03-18,Case Counts by County,Eagle,Cases,39
2020-03-18,Case Counts by County,Jefferson,Rate Per 100000,4.311259112
2020-03-18,Case Counts by County,Jefferson,Cases,25
2020-03-18,Case Counts by County,Arapahoe,Rate Per 100000,3.376755337
2020-03-18,Case Counts by County,Arapahoe,Cases,22
2020-03-18,Case Counts by County,Douglas,Rate Per 100000,3.207586233
2020-03-18,Case Counts by County,Douglas,Cases,11
2020-03-18,Case Counts by County,Gunnison,Rate Per 100000,64.02048656
2020-03-18,Case Counts by County,Gunnison,Cases,11
2020-03-18,Case Counts by County,Pitkin,Rate Per 100000,61.3633828
2020-03-18,Case Counts by County,Pitkin,Cases,11
2020-03-18,Case Counts by County,Adams,Rate Per 100000,1.9541937
2020-03-18,Case Counts by County,Adams,Cases,10
2020-03-18,Case Counts by County,Weld,Rate Per 100000,2.863615537
2020-03-18,Case Counts by County,Weld,Cases,9
2020-03-18,Case Counts by County,El Paso,Rate Per 100000,1.119607689
2020-03-18,Case Counts by County,El Paso,Cases,8
2020-03-18,Case Counts by County,Boulder,Rate Per 100000,2.150405505
2020-03-18,Case Counts by County,Boulder,Cases,7
2020-03-18,Case Counts by County,Larimer,Rate Per 100000,1.141474328
2020-03-18,Case Counts by County,Larimer,Cases,4
2020-03-18,Case Counts by County,Summit,Rate Per 100000,12.91238944
2020-03-18,Case Counts by County,Summit,Cases,4
2020-03-18,Case Counts by County,*County is unknown or pending,Rate Per 100000,NA
2020-03-18,Case Counts by County,*County is unknown or pending,Cases,3
2020-03-18,Case Counts by County,Clear Creek,Rate Per 100000,20.70607723
2020-03-18,Case Counts by County,Clear Creek,Cases,2
2020-03-18,Case Counts by County,Garfield,Rate Per 100000,3.34146423
2020-03-18,Case Counts by County,Garfield,Cases,2
2020-03-18,Case Counts by County,Routt,Rate Per 100000,7.777259294
2020-03-18,Case Counts by County,Routt,Cases,2
2020-03-18,Case Counts by County,Grand,Rate Per 100000,6.450364446
2020-03-18,Case Counts by County,Grand,Cases,1
2020-03-18,Case Counts by County,Mesa,Rate Per 100000,0.650923009
2020-03-18,Case Counts by County,Mesa,Cases,1
2020-03-18,Case Counts by County,Pueblo,Rate Per 100000,0.598512099
2020-03-18,Case Counts by County,Pueblo,Cases,1
2020-03-18,Case Counts by Age Group,0-9,Cases,1
2020-03-18,Case Counts by Age Group,0-9,Percent,0.46
2020-03-18,Case Counts by Age Group,10-19,Cases,9
2020-03-18,Case Counts by Age Group,10-19,Percent,4.17
2020-03-18,Case Counts by Age Group,20-29,Cases,27
2020-03-18,Case Counts by Age Group,20-29,Percent,12.5
2020-03-18,Case Counts by Age Group,30-39,Cases,40
2020-03-18,Case Counts by Age Group,30-39,Percent,18.52
2020-03-18,Case Counts by Age Group,40-49,Cases,41
2020-03-18,Case Counts by Age Group,40-49,Percent,18.98
2020-03-18,Case Counts by Age Group,50-59,Cases,40
2020-03-18,Case Counts by Age Group,50-59,Percent,18.52
2020-03-18,Case Counts by Age Group,60-69,Cases,29
2020-03-18,Case Counts by Age Group,60-69,Percent,13.43
2020-03-18,Case Counts by Age Group,70-79,Cases,18
2020-03-18,Case Counts by Age Group,70-79,Percent,8.33
2020-03-18,Case Counts by Age Group,80+,Cases,7
2020-03-18,Case Counts by Age Group,80+,Percent,3.24
2020-03-18,Case Counts by Age Group,Unknown,Cases,4
2020-03-18,Case Counts by Age Group,Unknown,Percent,1.85
2020-03-18,Transmission Type,Under Investigation,Cases,124
2020-03-18,Transmission Type,Under Investigation,Percent,57.41
2020-03-18,Transmission Type,Community,Cases,36
2020-03-18,Transmission Type,Community,Percent,16.67
2020-03-18,Transmission Type,Travel,Cases,27
2020-03-18,Transmission Type,Travel,Percent,12.5
2020-03-18,Transmission Type,Limited Person-to-Person,Cases,29
2020-03-18,Transmission Type,Limited Person-to-Person,Percent,13.43
2020-03-18,Case Counts by Onset Date,2/18/2020,Cases,1
2020-03-18,Case Counts by Onset Date,2/19/2020,Cases,1
2020-03-18,Case Counts by Onset Date,2/20/2020,Cases,3
2020-03-18,Case Counts by Onset Date,2/23/2020,Cases,1
2020-03-18,Case Counts by Onset Date,2/26/2020,Cases,1
2020-03-18,Case Counts by Onset Date,2/27/2020,Cases,1
2020-03-18,Case Counts by Onset Date,2/28/2020,Cases,2
2020-03-18,Case Counts by Onset Date,2/29/2020,Cases,2
2020-03-18,Case Counts by Onset Date,3/1/2020,Cases,9
2020-03-18,Case Counts by Onset Date,3/2/2020,Cases,7
2020-03-18,Case Counts by Onset Date,3/3/2020,Cases,10
2020-03-18,Case Counts by Onset Date,3/4/2020,Cases,14
2020-03-18,Case Counts by Onset Date,3/5/2020,Cases,3
2020-03-18,Case Counts by Onset Date,3/6/2020,Cases,12
2020-03-18,Case Counts by Onset Date,3/7/2020,Cases,11
2020-03-18,Case Counts by Onset Date,3/8/2020,Cases,16
2020-03-18,Case Counts by Onset Date,3/9/2020,Cases,12
2020-03-18,Case Counts by Onset Date,3/10/2020,Cases,23
2020-03-18,Case Counts by Onset Date,3/11/2020,Cases,10
2020-03-18,Case Counts by Onset Date,3/12/2020,Cases,2
2020-03-19,description,attribute,metric,value
2020-03-19,State Data,Statewide,Cases,277
2020-03-19,State Data,Statewide,Hospitalizations,42
2020-03-19,State Data,Statewide,Counties,22
2020-03-19,State Data,Statewide,People Tested,2952
2020-03-19,State Data,Statewide,Deaths,2
2020-03-19,State Data,Statewide,Rate Per 100000,4.864
2020-03-19,Case Counts by County,*Unknown or pending,Rate Per 100000,NA
2020-03-19,Case Counts by County,*Unknown or pending,Cases,13
2020-03-19,Case Counts by County,Adams,Rate Per 100000,1.9541937
2020-03-19,Case Counts by County,Adams,Cases,10
2020-03-19,Case Counts by County,Alamosa,Rate Per 100000,NA
2020-03-19,Case Counts by County,Alamosa,Cases,0
2020-03-19,Case Counts by County,Arapahoe,Rate Per 100000,3.376755337
2020-03-19,Case Counts by County,Arapahoe,Cases,22
2020-03-19,Case Counts by County,Archuleta,Rate Per 100000,NA
2020-03-19,Case Counts by County,Archuleta,Cases,0
2020-03-19,Case Counts by County,Baca,Rate Per 100000,NA
2020-03-19,Case Counts by County,Baca,Cases,0
2020-03-19,Case Counts by County,Bent,Rate Per 100000,NA
2020-03-19,Case Counts by County,Bent,Cases,0
2020-03-19,Case Counts by County,Boulder,Rate Per 100000,3.379208651
2020-03-19,Case Counts by County,Boulder,Cases,11
2020-03-19,Case Counts by County,Broomfield,Rate Per 100000,NA
2020-03-19,Case Counts by County,Broomfield,Cases,0
2020-03-19,Case Counts by County,Chaffee,Rate Per 100000,NA
2020-03-19,Case Counts by County,Chaffee,Cases,0
2020-03-19,Case Counts by County,Cheyenne,Rate Per 100000,NA
2020-03-19,Case Counts by County,Cheyenne,Cases,0
2020-03-19,Case Counts by County,Clear Creek,Rate Per 100000,20.70607723
2020-03-19,Case Counts by County,Clear Creek,Cases,2
2020-03-19,Case Counts by County,Conejos,Rate Per 100000,NA
2020-03-19,Case Counts by County,Conejos,Cases,0
2020-03-19,Case Counts by County,Costilla,Rate Per 100000,NA
2020-03-19,Case Counts by County,Costilla,Cases,0
2020-03-19,Case Counts by County,Crowley,Rate Per 100000,NA
2020-03-19,Case Counts by County,Crowley,Cases,0
2020-03-19,Case Counts by County,Custer,Rate Per 100000,NA
2020-03-19,Case Counts by County,Custer,Cases,0
2020-03-19,Case Counts by County,Delta,Rate Per 100000,NA
2020-03-19,Case Counts by County,Delta,Cases,0
2020-03-19,Case Counts by County,Denver,Rate Per 100000,6.825824462
2020-03-19,Case Counts by County,Denver,Cases,49
2020-03-19,Case Counts by County,Dolores,Rate Per 100000,NA
2020-03-19,Case Counts by County,Dolores,Cases,0
2020-03-19,Case Counts by County,Douglas,Rate Per 100000,4.082382478
2020-03-19,Case Counts by County,Douglas,Cases,14
2020-03-19,Case Counts by County,Eagle,Rate Per 100000,92.90463612
2020-03-19,Case Counts by County,Eagle,Cases,51
2020-03-19,Case Counts by County,El Paso,Rate Per 100000,2.099264418
2020-03-19,Case Counts by County,El Paso,Cases,15
2020-03-19,Case Counts by County,Elbert,Rate Per 100000,NA
2020-03-19,Case Counts by County,Elbert,Cases,0
2020-03-19,Case Counts by County,Fremont,Rate Per 100000,NA
2020-03-19,Case Counts by County,Fremont,Cases,0
2020-03-19,Case Counts by County,Garfield,Rate Per 100000,5.012196344
2020-03-19,Case Counts by County,Garfield,Cases,3
2020-03-19,Case Counts by County,Gilpin,Rate Per 100000,NA
2020-03-19,Case Counts by County,Gilpin,Cases,0
2020-03-19,Case Counts by County,Grand,Rate Per 100000,6.450364446
2020-03-19,Case Counts by County,Grand,Cases,1
2020-03-19,Case Counts by County,Gunnison,Rate Per 100000,75.66057502
2020-03-19,Case Counts by County,Gunnison,Cases,13
2020-03-19,Case Counts by County,Hinsdale,Rate Per 100000,NA
2020-03-19,Case Counts by County,Hinsdale,Cases,0
2020-03-19,Case Counts by County,Huerfano,Rate Per 100000,NA
2020-03-19,Case Counts by County,Huerfano,Cases,0
2020-03-19,Case Counts by County,Jackson,Rate Per 100000,NA
2020-03-19,Case Counts by County,Jackson,Cases,0
2020-03-19,Case Counts by County,Jefferson,Rate Per 100000,6.208213121
2020-03-19,Case Counts by County,Jefferson,Cases,36
2020-03-19,Case Counts by County,Kiowa,Rate Per 100000,NA
2020-03-19,Case Counts by County,Kiowa,Cases,0
2020-03-19,Case Counts by County,Kit Carson,Rate Per 100000,NA
2020-03-19,Case Counts by County,Kit Carson,Cases,0
2020-03-19,Case Counts by County,La Plata,Rate Per 100000,NA
2020-03-19,Case Counts by County,La Plata,Cases,0
2020-03-19,Case Counts by County,Lake,Rate Per 100000,NA
2020-03-19,Case Counts by County,Lake,Cases,0
2020-03-19,Case Counts by County,Larimer,Rate Per 100000,1.42684291
2020-03-19,Case Counts by County,Larimer,Cases,5
2020-03-19,Case Counts by County,Las Animas,Rate Per 100000,NA
2020-03-19,Case Counts by County,Las Animas,Cases,0
2020-03-19,Case Counts by County,Lincoln,Rate Per 100000,NA
2020-03-19,Case Counts by County,Lincoln,Cases,0
2020-03-19,Case Counts by County,Logan,Rate Per 100000,NA
2020-03-19,Case Counts by County,Logan,Cases,0
2020-03-19,Case Counts by County,Mesa,Rate Per 100000,0.650923009
2020-03-19,Case Counts by County,Mesa,Cases,1
2020-03-19,Case Counts by County,Mineral,Rate Per 100000,NA
2020-03-19,Case Counts by County,Mineral,Cases,0
2020-03-19,Case Counts by County,Moffat,Rate Per 100000,NA
2020-03-19,Case Counts by County,Moffat,Cases,0
2020-03-19,Case Counts by County,Montezuma,Rate Per 100000,NA
2020-03-19,Case Counts by County,Montezuma,Cases,0
2020-03-19,Case Counts by County,Montrose,Rate Per 100000,NA
2020-03-19,Case Counts by County,Montrose,Cases,0
2020-03-19,Case Counts by County,Morgan,Rate Per 100000,3.516669011
2020-03-19,Case Counts by County,Morgan,Cases,1
2020-03-19,Case Counts by County,Otero,Rate Per 100000,NA
2020-03-19,Case Counts by County,Otero,Cases,0
2020-03-19,Case Counts by County,Ouray,Rate Per 100000,NA
2020-03-19,Case Counts by County,Ouray,Cases,0
2020-03-19,Case Counts by County,Park,Rate Per 100000,NA
2020-03-19,Case Counts by County,Park,Cases,0
2020-03-19,Case Counts by County,Phillips,Rate Per 100000,NA
2020-03-19,Case Counts by County,Phillips,Cases,0
2020-03-19,Case Counts by County,Pitkin,Rate Per 100000,66.94187214
2020-03-19,Case Counts by County,Pitkin,Cases,12
2020-03-19,Case Counts by County,Prowers,Rate Per 100000,NA
2020-03-19,Case Counts by County,Prowers,Cases,0
2020-03-19,Case Counts by County,Pueblo,Rate Per 100000,0.598512099
2020-03-19,Case Counts by County,Pueblo,Cases,1
2020-03-19,Case Counts by County,Rio Blanco,Rate Per 100000,NA
2020-03-19,Case Counts by County,Rio Blanco,Cases,0
2020-03-19,Case Counts by County,Rio Grande,Rate Per 100000,NA
2020-03-19,Case Counts by County,Rio Grande,Cases,0
2020-03-19,Case Counts by County,Routt,Rate Per 100000,7.777259294
2020-03-19,Case Counts by County,Routt,Cases,2
2020-03-19,Case Counts by County,Saguache,Rate Per 100000,NA
2020-03-19,Case Counts by County,Saguache,Cases,0
2020-03-19,Case Counts by County,San Juan,Rate Per 100000,NA
2020-03-19,Case Counts by County,San Juan,Cases,0
2020-03-19,Case Counts by County,San Miguel,Rate Per 100000,NA
2020-03-19,Case Counts by County,San Miguel,Cases,0
2020-03-19,Case Counts by County,Sedgwick,Rate Per 100000,NA
2020-03-19,Case Counts by County,Sedgwick,Cases,0
2020-03-19,Case Counts by County,Summit,Rate Per 100000,16.1404868
2020-03-19,Case Counts by County,Summit,Cases,5
2020-03-19,Case Counts by County,Teller,Rate Per 100000,NA
2020-03-19,Case Counts by County,Teller,Cases,0
2020-03-19,Case Counts by County,Washington,Rate Per 100000,NA
2020-03-19,Case Counts by County,Washington,Cases,0
2020-03-19,Case Counts by County,Weld,Rate Per 100000,2.863615537
2020-03-19,Case Counts by County,Weld,Cases,9
2020-03-19,Case Counts by County,Yuma,Rate Per 100000,9.963136395
2020-03-19,Case Counts by County,Yuma,Cases,1
2020-03-19,Case Counts by Age Group,0-9,Cases,2
2020-03-19,Case Counts by Age Group,0-9,Percent,0.72
2020-03-19,Case Counts by Age Group,10-19,Cases,12
2020-03-19,Case Counts by Age Group,10-19,Percent,4.33
2020-03-19,Case Counts by Age Group,20-29,Cases,37
2020-03-19,Case Counts by Age Group,20-29,Percent,13.36
2020-03-19,Case Counts by Age Group,30-39,Cases,49
2020-03-19,Case Counts by Age Group,30-39,Percent,17.69
2020-03-19,Case Counts by Age Group,40-49,Cases,53
2020-03-19,Case Counts by Age Group,40-49,Percent,19.13
2020-03-19,Case Counts by Age Group,50-59,Cases,50
2020-03-19,Case Counts by Age Group,50-59,Percent,18.05
2020-03-19,Case Counts by Age Group,60-69,Cases,41
2020-03-19,Case Counts by Age Group,60-69,Percent,14.8
2020-03-19,Case Counts by Age Group,70-79,Cases,25
2020-03-19,Case Counts by Age Group,70-79,Percent,9.03
2020-03-19,Case Counts by Age Group,80+,Cases,8
2020-03-19,Case Counts by Age Group,80+,Percent,2.89
2020-03-19,"Case Counts by Age Group, Hospitalizations","0-9, Not Hospitalized",Cases,2
2020-03-19,"Case Counts by Age Group, Hospitalizations","10-19, Not Hospitalized",Cases,12
2020-03-19,"Case Counts by Age Group, Hospitalizations","20-29, Not Hospitalized",Cases,37
2020-03-19,"Case Counts by Age Group, Hospitalizations","30-39, Hospitalized",Cases,3
2020-03-19,"Case Counts by Age Group, Hospitalizations","30-39, Not Hospitalized",Cases,46
2020-03-19,"Case Counts by Age Group, Hospitalizations","40-49, Hospitalized",Cases,2
2020-03-19,"Case Counts by Age Group, Hospitalizations","40-49, Not Hospitalized",Cases,51
2020-03-19,"Case Counts by Age Group, Hospitalizations","50-59, Hospitalized",Cases,9
2020-03-19,"Case Counts by Age Group, Hospitalizations","50-59, Not Hospitalized",Cases,41
2020-03-19,"Case Counts by Age Group, Hospitalizations","60-69, Hospitalized",Cases,14
2020-03-19,"Case Counts by Age Group, Hospitalizations","60-69, Not Hospitalized",Cases,27
2020-03-19,"Case Counts by Age Group, Hospitalizations","70-79, Hospitalized",Cases,6
2020-03-19,"Case Counts by Age Group, Hospitalizations","70-79, Not Hospitalized",Cases,19
2020-03-19,"Case Counts by Age Group, Hospitalizations","80+, Hospitalized",Cases,4
2020-03-19,"Case Counts by Age Group, Hospitalizations","80+, Not Hospitalized",Cases,4
2020-03-19,Case Counts by Onset Date,2/18/2020,Cases,1
2020-03-19,Case Counts by Onset Date,2/19/2020,Cases,1
2020-03-19,Case Counts by Onset Date,2/20/2020,Cases,3
2020-03-19,Case Counts by Onset Date,2/23/2020,Cases,1
2020-03-19,Case Counts by Onset Date,2/26/2020,Cases,1
2020-03-19,Case Counts by Onset Date,2/27/2020,Cases,1
2020-03-19,Case Counts by Onset Date,2/28/2020,Cases,2
2020-03-19,Case Counts by Onset Date,2/29/2020,Cases,2
2020-03-19,Case Counts by Onset Date,3/1/2020,Cases,9
2020-03-19,Case Counts by Onset Date,3/2/2020,Cases,8
2020-03-19,Case Counts by Onset Date,3/3/2020,Cases,11
2020-03-19,Case Counts by Onset Date,3/4/2020,Cases,14
2020-03-19,Case Counts by Onset Date,3/5/2020,Cases,4
2020-03-19,Case Counts by Onset Date,3/6/2020,Cases,12
2020-03-19,Case Counts by Onset Date,3/7/2020,Cases,11
2020-03-19,Case Counts by Onset Date,3/8/2020,Cases,18
2020-03-19,Case Counts by Onset Date,3/9/2020,Cases,14
2020-03-19,Case Counts by Onset Date,3/10/2020,Cases,23
2020-03-19,Case Counts by Onset Date,3/11/2020,Cases,10
2020-03-19,Case Counts by Onset Date,3/12/2020,Cases,4
2020-03-19,Case Counts by Onset Date,3/13/2020,Cases,1
2020-03-20,description,attribute,metric,value
2020-03-20,State Data,Statewide,Cases,363
2020-03-20,State Data,Statewide,Hospitalizations,44
2020-03-20,State Data,Statewide,Counties,24
2020-03-20,State Data,Statewide,People Tested,3680
2020-03-20,State Data,Statewide,Deaths,4
2020-03-20,State Data,Statewide,Rate Per 100000,6.374
2020-03-20,Case Counts by County,*Unknown or pending,Rate Per 100000,NA
2020-03-20,Case Counts by County,*Unknown or pending,Cases,20
2020-03-20,Case Counts by County,Adams,Rate Per 100000,2.34503244
2020-03-20,Case Counts by County,Adams,Cases,12
2020-03-20,Case Counts by County,Alamosa,Rate Per 100000,NA
2020-03-20,Case Counts by County,Alamosa,Cases,0
2020-03-20,Case Counts by County,Arapahoe,Rate Per 100000,4.45117749
2020-03-20,Case Counts by County,Arapahoe,Cases,29
2020-03-20,Case Counts by County,Archuleta,Rate Per 100000,NA
2020-03-20,Case Counts by County,Archuleta,Cases,0
2020-03-20,Case Counts by County,Baca,Rate Per 100000,NA
2020-03-20,Case Counts by County,Baca,Cases,0
2020-03-20,Case Counts by County,Bent,Rate Per 100000,NA
2020-03-20,Case Counts by County,Bent,Cases,0
2020-03-20,Case Counts by County,Boulder,Rate Per 100000,4.915212583
2020-03-20,Case Counts by County,Boulder,Cases,16
2020-03-20,Case Counts by County,Broomfield,Rate Per 100000,2.893099957
2020-03-20,Case Counts by County,Broomfield,Cases,2
2020-03-20,Case Counts by County,Chaffee,Rate Per 100000,NA
2020-03-20,Case Counts by County,Chaffee,Cases,0
2020-03-20,Case Counts by County,Cheyenne,Rate Per 100000,NA
2020-03-20,Case Counts by County,Cheyenne,Cases,0
2020-03-20,Case Counts by County,Clear Creek,Rate Per 100000,20.70607723
2020-03-20,Case Counts by County,Clear Creek,Cases,2
2020-03-20,Case Counts by County,Conejos,Rate Per 100000,NA
2020-03-20,Case Counts by County,Conejos,Cases,0
2020-03-20,Case Counts by County,Costilla,Rate Per 100000,NA
2020-03-20,Case Counts by County,Costilla,Cases,0
2020-03-20,Case Counts by County,Crowley,Rate Per 100000,17.0794193
2020-03-20,Case Counts by County,Crowley,Cases,1
2020-03-20,Case Counts by County,Custer,Rate Per 100000,NA
2020-03-20,Case Counts by County,Custer,Cases,0
2020-03-20,Case Counts by County,Delta,Rate Per 100000,NA
2020-03-20,Case Counts by County,Delta,Cases,0
2020-03-20,Case Counts by County,Denver,Rate Per 100000,9.333270183
2020-03-20,Case Counts by County,Denver,Cases,67
2020-03-20,Case Counts by County,Dolores,Rate Per 100000,NA
2020-03-20,Case Counts by County,Dolores,Cases,0
2020-03-20,Case Counts by County,Douglas,Rate Per 100000,4.957178724
2020-03-20,Case Counts by County,Douglas,Cases,17
2020-03-20,Case Counts by County,Eagle,Rate Per 100000,111.1212314
2020-03-20,Case Counts by County,Eagle,Cases,61
2020-03-20,Case Counts by County,El Paso,Rate Per 100000,3.778675952
2020-03-20,Case Counts by County,El Paso,Cases,27
2020-03-20,Case Counts by County,Elbert,Rate Per 100000,NA
2020-03-20,Case Counts by County,Elbert,Cases,0
2020-03-20,Case Counts by County,Fremont,Rate Per 100000,NA
2020-03-20,Case Counts by County,Fremont,Cases,0
2020-03-20,Case Counts by County,Garfield,Rate Per 100000,6.682928459
2020-03-20,Case Counts by County,Garfield,Cases,4
2020-03-20,Case Counts by County,Gilpin,Rate Per 100000,NA
2020-03-20,Case Counts by County,Gilpin,Cases,0
2020-03-20,Case Counts by County,Grand,Rate Per 100000,19.35109334
2020-03-20,Case Counts by County,Grand,Cases,3
2020-03-20,Case Counts by County,Gunnison,Rate Per 100000,75.66057502
2020-03-20,Case Counts by County,Gunnison,Cases,13
2020-03-20,Case Counts by County,Hinsdale,Rate Per 100000,NA
2020-03-20,Case Counts by County,Hinsdale,Cases,0
2020-03-20,Case Counts by County,Huerfano,Rate Per 100000,NA
2020-03-20,Case Counts by County,Huerfano,Cases,0
2020-03-20,Case Counts by County,Jackson,Rate Per 100000,NA
2020-03-20,Case Counts by County,Jackson,Cases,0
2020-03-20,Case Counts by County,Jefferson,Rate Per 100000,6.380663486
2020-03-20,Case Counts by County,Jefferson,Cases,37
2020-03-20,Case Counts by County,Kiowa,Rate Per 100000,NA
2020-03-20,Case Counts by County,Kiowa,Cases,0
2020-03-20,Case Counts by County,Kit Carson,Rate Per 100000,NA
2020-03-20,Case Counts by County,Kit Carson,Cases,0
2020-03-20,Case Counts by County,La Plata,Rate Per 100000,NA
2020-03-20,Case Counts by County,La Plata,Cases,0
2020-03-20,Case Counts by County,Lake,Rate Per 100000,NA
2020-03-20,Case Counts by County,Lake,Cases,0
2020-03-20,Case Counts by County,Larimer,Rate Per 100000,1.997580074
2020-03-20,Case Counts by County,Larimer,Cases,7
